,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS.1,Hit
Hupehenine,11.16335838,11.16335838,0.180298701,-0.180967967,0.609322382,60.7,415.662,370.302,415.3450297,170,0,0.733333333,1.533333333,2.366666667,3.092214139,1.278584276,665.2485066,20.78372809,19.54801861,19.54801861,14.36402909,13.46655084,13.46655084,13.14527108,13.14527108,11.988537,11.988537,10.58619066,10.58619066,-0.12,11074118.67,20.48434202,7.18902399,2.863086404,183.5410603,10.21305479,0,0,0,0,0,4.899909731,0,0,0,20.7712116,116.4635395,19.13135364,12.20793278,10.21305479,0,0,4.899909731,58.67614488,96.80837981,13.08951281,0,0,0,0,0,0,46.45225094,0,58.67614488,78.55860621,0,0,0,43.7,0,10.21305479,0,17.62292324,5.917906046,79.06837569,45.19362093,0,0,25.67112133,0,0,0,2.917348186,21.48876119,0.260770332,7.224452872,0.852993184,10.74950561,10.25616863,0,1,30,2,3,4,2,6,0,0,0,3,2,3,0,4,2,6,6,4.5632,119.7926,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7,FALSE
Furanodienone,12.16648904,12.16648904,0.081898148,0.081898148,0.630474829,23.35294118,230.307,212.163,230.1306798,90,0,1.176470588,1.941176471,2.705882353,2.584954403,2.494788394,500.9915381,12.41384908,10.66986773,10.66986773,8.0753874,6.017559551,6.017559551,4.837760951,4.837760951,3.145901436,3.145901436,2.198870519,2.198870519,-1.57,7734.183573,11.90209634,4.741041744,2.574115704,102.0165805,4.417150937,5.760247419,5.783244946,0,0,0,4.794537184,0,0,0,17.22222917,45.25232644,6.420821623,11.82661449,9.211688121,5.783244946,0,0,0,40.03367647,0,46.44856267,0,0,0,0,0,5.783244946,6.420821623,6.9237372,48.37080523,33.97856321,0,0,30.21,0,4.794537184,0,5.783244946,0,41.7227198,5.57310453,12.3391831,13.8474744,12.99975731,4.417150937,5.503789683,0,12.16648904,0,4.080577286,0.880231481,0,8.342372685,6.026539824,0,0.4,17,0,2,1,0,1,0,1,1,2,0,2,0,0,0,0,2,3.99962,68.2275,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.35294118,FALSE
Lumichrome,11.61703405,11.61703405,0.143845427,-0.578718873,0.569605267,11.22222222,242.238,232.158,242.0803756,90,0,0.944444444,1.555555556,2.222222222,2.288084973,2.549621953,892.0878281,12.86144284,9.86562431,9.86562431,8.541713896,5.45737602,5.45737602,4.254250044,4.254250044,2.953775091,2.953775091,1.858179287,1.858179287,-2.5,13733.08601,10.64122449,3.494380165,1.5,100.7262525,0,0,11.16387794,0,5.559266895,5.689743398,14.76249423,14.76249423,0,0,0,37.10711152,0,11.03340144,0,22.19727937,0,19.93591408,0,13.8474744,0,44.09772178,0,11.24901029,0,0,0,19.93591408,0,13.8474744,11.12690298,21.72180851,0,22.19727937,91.5,11.24901029,9.589074368,0,11.16387794,11.03340144,11.12690298,0,0,25.98020854,19.93591408,0,0,0,35.91336512,0,2.714405051,0,3.762169785,0,3.943393382,0,0.166666667,18,2,6,0,0,0,1,2,3,4,2,6,0,0,0,0,3,0.77644,67.7594,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22222222,FALSE
(-)-Sparteine sulfate pentahydrate,8.743055556,8.743055556,0,-4.666666667,0.401532833,31.92592593,422.541,384.237,422.2298018,168,0,0.666666667,1,1.333333333,2.458025008,-5.24E-07,457.6792611,15.74227621,15.60117492,16.4176715,10.41581624,8.595946958,9.992910368,7.319826435,8.215493309,5.960307085,5.960307085,5.252474803,5.252474803,-0.41,94203.80842,31.2898173,12.93261114,8.23281444,160.3862553,27.38095918,0,0,0,0,10.39900058,18.90531921,0,8.417796984,0,12.84164325,57.02943302,25.17319447,0,44.90425591,10.39900058,0,9.799819462,11.83581209,57.02943302,26.17902562,0,0,0,0,0,0,92.96678265,10.39900058,11.83581209,44.94575136,0,0,0,238.58,10.39900058,0,0,27.38095918,0,23.91949375,64.70395536,6.420821623,0,9.799819462,17.52329673,31.58333333,0,5.738648904,0,0,2.034074074,1.921993575,10.45861678,5.68,-4.666666667,1,27,12,11,0,4,4,0,0,0,4,2,12,0,0,4,4,4,-2.4312,102.2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.92592593,FALSE
U-73122,11.62145272,11.62145272,0.160556042,-0.160556042,0.412956953,32,464.65,424.33,464.3038931,184,0,1.029411765,1.823529412,2.617647059,3.355486916,1.081672437,938.6941434,23.70853153,20.85339226,20.85339226,16.50818705,13.4478001,13.4478001,11.18447429,11.18447429,9.533518743,9.533518743,7.697349262,7.697349262,-2.14,79107949.54,23.59484042,9.847391648,4.321721535,203.8584294,10.05365156,5.749511833,0,0,11.81435946,0,14.4889841,0,0,0,25.83174751,104.3396751,24.73863745,7.109797541,14.32593732,11.81435946,0,10.21669833,17.25080256,83.0917003,20.19931035,41.4780444,5.749511833,10.05365156,0,5.749511833,0,42.95542037,16.00989599,17.25080256,81.75594084,30.35114142,0,0,58.64,0,9.589074368,0,11.81435946,18.0015877,49.31045125,67.5611528,12.67324903,0,30.43962701,4.736862954,5.475948215,0,24.59831374,3.95200594,3.545791078,3.076248774,7.42441352,14.87800526,4.200360794,1.765579343,0.655172414,34,1,5,3,1,4,1,0,1,4,1,5,9,2,0,2,5,4.9949,133.7297,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,FALSE
Prilocaine,11.79690571,11.79690571,0.016435185,-0.153188776,0.799248445,12.1875,220.316,200.156,220.1575633,88,0,1.375,2.0625,2.6875,2.284992235,2.540522039,349.5407601,11.96625533,10.2092132,10.2092132,7.647065708,5.746835125,5.746835125,3.979984101,3.979984101,2.496742987,2.496742987,1.407673983,1.407673983,-1.35,3735.962304,12.71825939,6.279947746,3.662912758,97.24724439,10.63357721,0,0,5.907179729,0,0,4.794537184,0,0,0,25.12283841,38.44287099,5.687386275,6.041840829,4.794537184,11.594566,0,5.316788604,0,33.23387405,11.86154501,29.82891977,0,10.63357721,5.687386275,0,0,18.49377696,4.794537184,6.9237372,25.83174751,24.26546827,0,0,41.13,0,4.794537184,0,11.94902056,0,24.2164158,0,0,38.11294267,17.55731441,0,0,0,11.79690571,6.077147345,1.968694439,0.016435185,7.634537509,1.029746788,6.80986636,0,0.461538462,16,2,3,0,0,0,1,0,1,2,2,3,5,0,0,0,1,2.32162,67.5644,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1875,FALSE
Isavuconazonium sulfate,15.32911481,15.32911481,0.022943299,-4.916666667,0.066707409,13.28571429,814.85,778.562,814.2014732,296,0,1.196428571,1.892857143,2.553571429,3.844579011,1.31E-06,2294.030592,41.20816706,30.2366603,31.86965346,26.4261097,16.36880371,18.61360489,12.06841512,13.81355798,8.17633592,9.203779938,5.250221763,6.22152583,-5.76,1.01122E+12,42.97438058,18.71866875,11.38510858,323.5359591,24.44979178,36.20499364,0,22.95422183,6.327320075,12.06254536,14.24719679,31.96112131,9.828991203,16.01858881,25.12283841,43.44587439,53.25525785,28.8789809,55.04055415,39.6161946,5.261891555,25.06523039,0,44.7459708,25.5400101,112.16127,17.3266008,14.78379798,19.39323006,0,11.33678588,75.08091164,43.41995285,22.96555455,47.69125979,78.82885011,0,11.25737949,236.8,51.84284565,19.08601681,4.390415048,31.07770905,21.82845468,23.7625527,51.3847539,62.67341156,0,21.46867025,37.24289271,76.35064989,1.247975693,35.11624293,30.64741902,0.000750137,-2.639908198,15.11141742,2.64912321,2.8521113,-1.835781406,0.285714286,56,3,17,0,0,0,2,3,5,15,3,21,13,0,0,0,5,3.58918,193.2375,0,1,0,0,0,5,0,0,0,0,2,2,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,13.28571429,FALSE
Crotonic acid,9.5125,9.5125,0.891203704,-0.891203704,0.475450776,9.5,86.09,80.042,86.03677943,34,0,1.833333333,2.333333333,2.333333333,1.348587896,3.301627872,73.61727061,4.991563832,3.510162424,3.510162424,2.77005561,1.62708968,1.62708968,0.838237668,0.838237668,0.309243648,0.309243648,0.142576981,0.142576981,-0.79,14.83446686,5.21,2.447529691,3.21,36.10023019,5.106527395,0,0,0,0,5.969305288,0,4.794537184,0,0,6.076020107,6.9237372,6.076020107,0,9.901064579,5.969305288,0,0,0,6.9237372,0,12.15204021,0,0,0,0,0,11.07583268,4.794537184,0,6.9237372,12.15204021,0,0,37.3,5.969305288,4.794537184,0,0,0,6.076020107,6.076020107,6.9237372,0,0,5.106527395,0,0,9.5125,7.826666667,0,-0.891203704,0,2.55787037,1.660833333,0,0.25,6,1,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0.6471,22.4498,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,FALSE
"1,1,1,1-Kestohexose",11.50751425,11.50751425,0.88538268,-2.904653468,0.05076235,52.47761194,990.861,928.365,990.3275052,392,0,0.298507463,0.567164179,0.880597015,3.9982958,1.326758744,1589.578093,49.60335457,35.26018308,35.26018308,31.58412023,20.97903904,20.97903904,17.05865061,17.05865061,12.88441484,12.88441484,8.662593969,8.662593969,-1.24,2.1896E+14,55.08074887,21.46038766,9.748334735,377.6109107,154.2360404,149.0097712,6.290026729,28.93555576,0,0,0,0,0,0,0,0,0,39.64129179,154.2360404,0,0,0,0,151.2009439,72.67570161,0,0,0,0,0,0,326.0071934,52.10549249,0,0,0,0,0,506.13,223.8766455,102.1305479,0,0,0,0,0,0,0,0,52.10549249,62.59534154,0,0,211.3635941,0,-14.00970701,0,-39.66484551,-12.36771641,0,1,67,20,31,0,6,6,0,0,0,31,20,31,21,0,6,6,6,-14.0924,199.263,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.47761194,FALSE
L-Canavanine sulfate,10.15944476,10.15944476,0.090324074,-4.666666667,0.09237035,11.94117647,274.255,260.143,274.0583198,102,0,1.470588235,1.882352941,2.176470588,2.081836467,0,334.1732166,14.06047793,8.529146609,9.34564319,7.53658126,3.937943821,5.334907231,2.545438231,3.441105105,1.030240229,1.030240229,0.438149894,0.438149894,-1.47,1655.059991,17.91047448,8.655603928,25.11782064,96.77505844,16.57386235,6.041840829,0,5.959554569,0,16.36830587,24.14690912,5.480096598,8.417796984,0,0,6.420821623,0,6.606881965,32.26194989,22.32786044,5.409283606,5.480096598,11.46733495,12.46266245,6.606881965,0,0,16.94743155,0,0,0,47.20740678,20.03112635,5.409283606,6.420821623,0,0,0,209.05,22.4101467,4.794537184,0,18.98725816,0,0,0,0,0,10.31768518,39.50644269,31.58333333,0,14.73245402,14.9813048,12.0622323,-1.416369048,-0.945594293,0.162314815,0.090324074,-4.666666667,0.6,17,9,11,0,0,0,0,0,0,6,7,12,5,0,0,0,0,-2.44973,55.4074,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.94117647,FALSE
Riboflavin,12.16519374,12.16519374,0.051628401,-1.637935904,0.328412159,15.18518519,376.369,356.209,376.1382844,144,0,1.074074074,1.740740741,2.407407407,2.620682037,2.275289412,1075.453995,19.8779507,14.74795666,14.74795666,12.72245311,8.294805064,8.294805064,6.498745776,6.498745776,4.569542932,4.569542932,2.894216604,2.894216604,-2.66,876018.0053,19.11132227,7.158061106,3.47065442,152.2923242,24.99320923,18.31189916,11.51833249,0,5.559266895,5.689743398,9.778515705,9.778515705,4.983978521,0,0,37.10711152,0,24.18503981,20.42610958,11.03340144,0,19.51903521,0,38.70412997,6.606881965,44.09772178,11.51833249,11.24901029,0,0,0,64.86392592,6.544756406,13.8474744,11.12690298,21.72180851,0,22.55173393,161.56,36.16779142,24.90865655,0,18.0630889,11.03340144,11.12690298,4.567099648,12.13273414,13.8474744,14.95193556,5.106527395,1.401515495,0,33.99748896,38.79475898,1.112541316,-0.051628401,3.530316752,-4.680411339,2.728751576,0,0.411764706,27,5,10,0,2,2,1,0,1,9,5,10,5,0,0,0,3,-1.72356,95.6209,0,4,4,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.18518519,FALSE
Disodium monofluorophosphate,10.13194444,10.13194444,0,-5.638888889,0.250379868,8.428571429,143.949,143.949,143.9364473,32,0,1.285714286,1.285714286,1.285714286,0.721928095,-8.00E-08,59.07049634,4.5,4.04992294,8.944350131,2,0.716753408,2.150260225,0.430626466,1.291879397,0,0,0,0,2.08,3.609640474,16.03619806,6.203762376,69.03857988,84.54039226,14.35187149,7.906470276,0,0,0,59.11457207,0,4.196905633,0,0,0,0,0,0,77.66334919,7.906470276,0,0,0,0,0,0,0,68.90139527,4.196905633,0,7.906470276,0,4.565048285,0,0,0,0,0,63.19,7.906470276,4.196905633,0,59.11457207,0,0,0,0,0,0,14.35187149,18.56944444,0,16.875,0,0,0,0,0,0,-5.638888889,0,7,0,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,-7.2074,8.7145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.428571429,FALSE
L-Serine,9.645324074,9.645324074,0.50462963,-1.178240741,0.394240349,13.42857143,105.093,98.037,105.0425931,42,0,1.857142857,2.285714286,2.285714286,1.64571137,3.343417059,72.58027135,5.86180732,3.664482801,3.664482801,3.180739213,1.774215467,1.774215467,1.127304926,1.127304926,0.513893756,0.513893756,0.078092629,0.078092629,-0.61,27.9770933,6.39,2.543994039,2.132115028,40.55901556,15.94672227,6.041840829,0,0,0,5.969305288,4.794537184,0,0,0,0,0,0,6.606881965,15.00759197,5.969305288,0,0,5.733667477,6.041840829,6.606881965,0,0,5.733667477,0,0,0,28.83108287,4.794537184,0,0,0,0,0,83.55,18.61802808,4.794537184,0,0,0,0,0,0,0,0,15.94672227,0,0,9.645324074,15.89634259,4.766203704,-1.178240741,-1.125,0,-0.50462963,0,0.666666667,7,4,4,0,0,0,0,0,0,3,3,4,2,0,0,0,0,-1.6094,22.697,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42857143,FALSE
